file_name,dataset,ct,ft,n_gaussians,trainable_params,epoch_time,peak_memory,mx_queries
ushcn-mnf-ct-12-ft-36-282851.log,ushcn,12,36,5,454719,1.1865801811218262,346.39,6.0
physionet2012-mnf-ct-12-ft-36-282847.log,physionet2012,12,36,3,429631,6.565469264984131,1718.95,459.0
physionet2012-mnf-ct-12-ft-36-282848.log,physionet2012,12,36,1,396351,5.489653587341309,616.74,459.0
mimiciv-mnf-ct-12-ft-36-282837.log,mimiciv,12,36,3,446271,14.485618591308594,7722.45,1336.0
mimiciii-mnf-ct-12-ft-36-282839.log,mimiciii,12,36,10,561215,19.30782461166382,7968.39,708.0
mimiciii-mnf-ct-12-ft-36-282840.log,mimiciii,12,36,7,511295,16.499552249908447,5871.01,708.0
ushcn-mnf-ct-12-ft-36-282849.log,ushcn,12,36,10,537919,1.2001917362213135,346.57,6.0
physionet2012-mnf-ct-12-ft-36-282845.log,physionet2012,12,36,7,496191,8.207944393157959,3646.21,459.0
mimiciv-mnf-ct-12-ft-36-282836.log,mimiciv,12,36,5,479551,18.6140353679657,12099.35,1336.0
ushcn-mnf-ct-12-ft-36-282852.log,ushcn,12,36,3,421439,1.1921305656433105,341.43,6.0
ushcn-mnf-ct-12-ft-36-282850.log,ushcn,12,36,7,487999,1.1446919441223145,348.43,6.0
mimiciv-mnf-ct-12-ft-36-282834.log,mimiciv,12,36,10,562751,28.933419227600098,21426.71,1336.0
physionet2012-mnf-ct-12-ft-36-282846.log,physionet2012,12,36,5,462911,7.405397653579712,2714.43,459.0
mimiciii-mnf-ct-12-ft-36-282855.log,mimiciii,12,36,5,478015,14.037429332733154,4326.85,708.0
mimiciv-mnf-ct-12-ft-36-282838.log,mimiciv,12,36,1,412991,10.74249529838562,3139.3,1336.0
mimiciv-mnf-ct-12-ft-36-282835.log,mimiciv,12,36,7,512831,22.41132879257202,14332.92,1327.0
ushcn-mnf-ct-12-ft-36-282853.log,ushcn,12,36,1,388159,1.219221830368042,343.78,6.0
mimiciii-mnf-ct-12-ft-36-282843.log,mimiciii,12,36,1,411455,10.454224348068237,1012.07,708.0
mimiciii-mnf-ct-12-ft-36-282842.log,mimiciii,12,36,3,444735,11.9164297580719,2692.68,708.0
physionet2012-mnf-ct-12-ft-36-282844.log,physionet2012,12,36,10,546111,10.024543285369873,5017.25,459.0
